"region","year","min_percent_canopy_density","loss_ha","gain_ha"
"Ancash",2009,10,58,37.75
"Ancash",2009,15,57,37.75
"Ancash",2009,20,56,37.75
"Ancash",2009,25,56,37.75
"Ancash",2009,30,55,37.75
"Ancash",2009,50,45,37.75
"Ancash",2009,75,32,37.75
"Ancash",2010,10,55,37.75
"Ancash",2010,15,54,37.75
"Ancash",2010,20,53,37.75
"Ancash",2010,25,53,37.75
"Ancash",2010,30,52,37.75
"Ancash",2010,50,41,37.75
"Ancash",2010,75,27,37.75
"Ancash",2011,10,35,37.75
"Ancash",2011,15,35,37.75
"Ancash",2011,20,35,37.75
"Ancash",2011,25,35,37.75
"Ancash",2011,30,35,37.75
"Ancash",2011,50,31,37.75
"Ancash",2011,75,22,37.75
"Ancash",2012,10,57,37.75
"Ancash",2012,15,56,37.75
"Ancash",2012,20,55,37.75
"Ancash",2012,25,55,37.75
"Ancash",2012,30,53,37.75
"Ancash",2012,50,46,37.75
"Ancash",2012,75,33,37.75
"Apur\u00edmac",2000,10,0,0
"Apur\u00edmac",2000,15,0,0
"Apur\u00edmac",2000,20,0,0
"Apur\u00edmac",2000,25,0,0
"Apur\u00edmac",2000,30,0,0
"Apur\u00edmac",2000,50,0,0
"Apur\u00edmac",2000,75,0,0
"Apur\u00edmac",2001,10,106,35.4166666666667
"Apur\u00edmac",2001,15,104,35.4166666666667
"Apur\u00edmac",2001,20,101,35.4166666666667
"Apur\u00edmac",2001,25,101,35.4166666666667
"Apur\u00edmac",2001,30,99,35.4166666666667
"Apur\u00edmac",2001,50,71,35.4166666666667
"Apur\u00edmac",2001,75,48,35.4166666666667
"Apur\u00edmac",2002,10,185,35.4166666666667
"Apur\u00edmac",2002,15,182,35.4166666666667
"Apur\u00edmac",2002,20,178,35.4166666666667
"Apur\u00edmac",2002,25,173,35.4166666666667
"Apur\u00edmac",2002,30,170,35.4166666666667
"Apur\u00edmac",2002,50,130,35.4166666666667
"Apur\u00edmac",2002,75,76,35.4166666666667
"Apur\u00edmac",2003,10,248,35.4166666666667
"Apur\u00edmac",2003,15,242,35.4166666666667
"Apur\u00edmac",2003,20,236,35.4166666666667
"Apur\u00edmac",2003,25,233,35.4166666666667
"Apur\u00edmac",2003,30,230,35.4166666666667
"Apur\u00edmac",2003,50,144,35.4166666666667
"Apur\u00edmac",2003,75,69,35.4166666666667
"Apur\u00edmac",2004,10,202,35.4166666666667
"Apur\u00edmac",2004,15,198,35.4166666666667
"Apur\u00edmac",2004,20,192,35.4166666666667
"Apur\u00edmac",2004,25,188,35.4166666666667
"Apur\u00edmac",2004,30,187,35.4166666666667
"Apur\u00edmac",2004,50,121,35.4166666666667
"Apur\u00edmac",2004,75,63,35.4166666666667
"Apur\u00edmac",2005,10,152,35.4166666666667
"Apur\u00edmac",2005,15,149,35.4166666666667
"Apur\u00edmac",2005,20,146,35.4166666666667
"Apur\u00edmac",2005,25,144,35.4166666666667
"Apur\u00edmac",2005,30,142,35.4166666666667
"Apur\u00edmac",2005,50,110,35.4166666666667
"Apur\u00edmac",2005,75,66,35.4166666666667
"Apur\u00edmac",2006,10,78,35.4166666666667
"Apur\u00edmac",2006,15,77,35.4166666666667
"Apur\u00edmac",2006,20,76,35.4166666666667
"Apur\u00edmac",2006,25,76,35.4166666666667
"Apur\u00edmac",2006,30,75,35.4166666666667
"Apur\u00edmac",2006,50,62,35.4166666666667
"Apur\u00edmac",2006,75,42,35.4166666666667
"Apur\u00edmac",2007,10,130,35.4166666666667
"Apur\u00edmac",2007,15,127,35.4166666666667
"Apur\u00edmac",2007,20,125,35.4166666666667
"Apur\u00edmac",2007,25,125,35.4166666666667
"Apur\u00edmac",2007,30,124,35.4166666666667
"Apur\u00edmac",2007,50,103,35.4166666666667
"Apur\u00edmac",2007,75,67,35.4166666666667
"Apur\u00edmac",2008,10,130,35.4166666666667
"Apur\u00edmac",2008,15,127,35.4166666666667
"Apur\u00edmac",2008,20,125,35.4166666666667
"Apur\u00edmac",2008,25,124,35.4166666666667
